Thermodynamic Limit Magnetization p=5
s, mx,mz,f
0.0324,1,0,-0.95302,
0.0325,1,0,-0.952875,
0.0326,1,0,-0.95273,
0.0327,1,0,-0.952585,
0.0328,1,0,-0.95244,
0.0329,1,0,-0.952295,
0.033,1,0,-0.95215,
0.0331,1,0,-0.952005,
0.0332,1,0,-0.95186,
0.0333,1,0,-0.951715,
0.0334,1,0,-0.95157,
0.0335,1,0,-0.951425,
0.0336,1,0,-0.95128,
0.0337,1,0,-0.951135,
0.0338,1,0,-0.95099,
0.0339,1,0,-0.950845,
0.034,1,0,-0.9507,
0.0341,1,0,-0.950555,
0.0342,1,0,-0.95041,
0.0343,1,0,-0.950265,
0.0344,1,0,-0.95012,
0.0345,1,0,-0.949975,
0.0346,1,0,-0.94983,
0.0347,1,0,-0.949685,
0.0348,1,0,-0.94954,
0.0349,1,0,-0.949395,
0.035,1,0,-0.94925,
0.0351,1,0,-0.949105,
0.0352,1,0,-0.94896,
0.0353,1,0,-0.948815,
0.0354,1,0,-0.94867,
0.0355,1,0,-0.948525,
0.0356,1,0,-0.94838,
0.0357,1,0,-0.948235,
0.0358,1,0,-0.94809,
0.0359,1,0,-0.947945,
0.036,1,0,-0.9478,
0.0361,1,0,-0.947655,
0.0362,1,0,-0.94751,
0.0363,1,0,-0.947365,
0.0364,1,0,-0.94722,
0.0365,1,0,-0.947075,
0.0366,1,0,-0.94693,
0.0367,1,0,-0.946785,
0.0368,1,0,-0.94664,
0.0369,1,0,-0.946495,
0.037,1,0,-0.94635,
0.0371,1,0,-0.946205,
0.0372,1,0,-0.94606,
0.0373,1,0,-0.945915,
0.0374,1,0,-0.94577,
0.0375,1,0,-0.945625,
0.0376,1,0,-0.94548,
0.0377,1,0,-0.945335,
0.0378,1,0,-0.94519,
0.0379,1,0,-0.945045,
0.038,1,0,-0.9449,
0.0381,1,0,-0.944755,
0.0382,1,0,-0.94461,
0.0383,1,0,-0.944465,
0.0384,1,0,-0.94432,
0.0385,1,0,-0.944175,
0.0386,1,0,-0.94403,
0.0387,1,0,-0.943885,
0.0388,1,0,-0.94374,
0.0389,1,0,-0.943595,
0.039,1,0,-0.94345,
0.0391,1,0,-0.943305,
0.0392,1,0,-0.94316,
0.0393,1,0,-0.943015,
0.0394,1,0,-0.94287,
0.0395,1,0,-0.942725,
0.0396,1,0,-0.94258,
0.0397,1,0,-0.942435,
0.0398,1,0,-0.94229,
0.0399,1,0,-0.942145,
0.04,1,0,-0.942,
0.0401,1,0,-0.941855,
0.0402,1,0,-0.94171,
0.0403,1,0,-0.941565,
0.0404,1,0,-0.94142,
0.0405,1,0,-0.941275,
0.0406,1,0,-0.94113,
0.0407,1,0,-0.940985,
0.0408,1,0,-0.94084,
0.0409,1,0,-0.940695,
0.041,1,0,-0.94055,
0.0411,1,0,-0.940405,
0.0412,1,0,-0.94026,
0.0413,1,0,-0.940115,
0.0414,1,0,-0.93997,
0.0415,1,0,-0.939825,
0.0416,1,0,-0.93968,
0.0417,1,0,-0.939535,
0.0418,1,0,-0.93939,
0.0419,1,0,-0.939245,
0.042,1,0,-0.9391,
0.0421,1,0,-0.938955,
0.0422,1,0,-0.93881,
0.0423,1,0,-0.938665,
0.0424,1,0,-0.93852,
0.0425,1,0,-0.938375,
0.0426,1,0,-0.93823,
0.0427,1,0,-0.938085,
0.0428,1,0,-0.93794,
0.0429,1,0,-0.937795,
0.043,1,0,-0.93765,
0.0431,1,0,-0.937505,
0.0432,1,0,-0.93736,
0.0433,1,0,-0.937215,
0.0434,1,0,-0.93707,
0.0435,1,0,-0.936925,
0.0436,1,0,-0.93678,
0.0437,1,0,-0.936635,
0.0438,1,0,-0.93649,
0.0439,1,0,-0.936345,
0.044,1,0,-0.9362,
0.0441,1,0,-0.936055,
0.0442,1,0,-0.93591,
0.0443,1,0,-0.935765,
0.0444,1,0,-0.93562,
0.0445,1,0,-0.935475,
0.0446,1,0,-0.93533,
0.0447,1,0,-0.935185,
0.0448,1,0,-0.93504,
0.0449,1,0,-0.934895,
0.045,1,0,-0.93475,
0.0451,1,0,-0.934605,
0.0452,1,0,-0.93446,
